scope,config,method,strategy,importance_source,protect_mode,merge_ratio,actual_merge_ratio,tokens_after,latency_ms_mean,speedup_vs_baseline,peak_memory_mb_mean,memory_delta_mb,mean_cosine,p10_cosine,p1_cosine,relative_l2,any_fallback,num_candidate_cells
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.125_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,28672.0,628.9815679192543,1.0946071617461037,3046.17578125,-102.4765625,0.9418633977572123,0.7860575318336487,0.4480658272902171,0.3432811388027841,False,8192.0
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.05_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,628.7369181712469,1.092806261139615,3113.19189453125,-35.46044921875,0.9355536500612894,0.7890337308247884,0.351113239924113,0.3600332046227681,False,8192.0
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.1_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,587.8351223137643,1.1688441447369367,3069.59619140625,-79.05615234375,0.885088841120402,0.6101999680201212,0.29502835869789124,0.4803801273536936,False,8192.0
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.125_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,28672.0,572.4767603807978,1.2002018044018592,3051.17578125,-97.4765625,0.86091015736262,0.5586260159810384,0.2794487476348877,0.5283666336074907,False,8192.0
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.05_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,637.2068427089189,1.0798456622333283,3110.00439453125,-38.64794921875,0.9494803547859192,0.8521253069241842,0.38324612379074097,0.3185796239226086,False,8192.0
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.1_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,600.6647182835472,1.145539306871369,3068.4013671875,-80.2509765625,0.9053454995155334,0.6581008831659952,0.32289306322733563,0.43578722727940117,False,8192.0
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.125_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,28672.0,586.5767579525709,1.1730520101859503,3047.17578125,-101.4765625,0.8853114247322083,0.6051089366277059,0.3034359614054362,0.4795246459735522,False,8192.0
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.05_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,643.7131048490604,1.0689915112607111,3110.2001953125,-38.4521484375,0.9568005005518595,0.8857754866282145,0.4186406234900157,0.2946175340406661,False,8192.0
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.1_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,611.5693514131837,1.1251771253429226,3069.1962890625,-79.4560546875,0.9177302916844686,0.7009222904841105,0.3485199411710103,0.40615329151133084,False,8192.0
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.125_512,C_hybrid_similarity_importance,local_2x2_hybrid_score_vec,norm_motion,local_top1,0.125,0.125,28672.0,599.2726071013344,1.1482651411339462,3051.17578125,-97.4765625,0.8992629647254944,0.6452640493710836,0.3299565315246582,0.44944496137065126,False,8192.0
